item_id,source_type,path,feature_area,decision,rationale,reuse_scope,target_package,preconditions
Q-TRK-01,TRACKED_PATCH,app/pages/1_Visitor_Intent_Predictor.py,MODEL/XAI/KNN,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 5,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-02,TRACKED_PATCH,app/pages/2_Batch_Scoring.py,BATCH,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 4,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-03,TRACKED_PATCH,app/pages/3_Model_Benchmark_Selection.py,MODEL/XAI,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 5,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-04,TRACKED_PATCH,app/pages/4_Business_KPI_Forecasting.py,FCST,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 7,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-05,TRACKED_PATCH,app/pages/5_Anomaly_Outlier.py,ANOM,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 7,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-06,TRACKED_PATCH,app/pages/6_Monitoring_Drift_Health.py,MON,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 7,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-TRK-07,TRACKED_PATCH,app/pages/7_MLOps_Architecture.py,ARCH,DO_NOT_RESTORE,Broad unreviewed append-only prototype against a verified page.,Compare small functions/messages only; rebuild against current inventory.,Package 8,"Select exact matrix rows, verify contracts, add focused tests and page visual QA."
Q-NEW-01,UNTRACKED_PROTOTYPE,app/pages/9_Customer_Segmentation_Journey.py,SEG/JOURNEY,REWRITE,Thin page depends on a large unverified helper.,Reuse concept/navigation label only.,Package 6,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-02,UNTRACKED_PROTOTYPE,app/ui/architecture_intelligence.py,ARCH,REUSE_PARTS,Useful ideas include illustrative flow weights and automatic rendering.,Reuse structural helpers only with truthful labels.,Package 8,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-03,UNTRACKED_PROTOTYPE,app/ui/campaign_intelligence.py,BATCH,REUSE_PARTS,Overlaps current Batch Scoring messages.,Reuse only unique scenario calculations/views.,Package 4,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-04,UNTRACKED_PROTOTYPE,app/ui/closure_core.py,SHARED/QA,REWRITE,Shared state is incomplete and not consumed cross-page.,Rebuild only small contracts needed by a controlled package.,Package 4,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-05,UNTRACKED_PROTOTYPE,app/ui/customer_segmentation_journey.py,SEG/JOURNEY,REUSE_PARTS,Journey movement/transition evidence is not fully governed.,Reuse compact clustering/profile helpers after contract review.,Package 6,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-06,UNTRACKED_PROTOTYPE,app/ui/model_decision_intelligence.py,MODEL/XAI,REUSE_PARTS,Overlaps benchmark and Package 1 evidence.,Reuse only non-duplicate decision/XAI functions.,Package 5,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-07,UNTRACKED_PROTOTYPE,app/ui/operations_intelligence.py,FCST/ANOM/MON,REUSE_PARTS,Combines three domains in one large auto-rendered module.,Split reusable functions by controlled package.,Package 7,Clean a60dcbd source remains baseline; add package tests and visual QA.
