matrix_id,package,area,implementation_evidence,verification_evidence,closure_state
SVE-GOV-03,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-04,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-05,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-06,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-07,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-08,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-09,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-GOV-11,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-AUD-09,Package 1,Audit,"Evidence Library, governed downloads, source lineage, alternate-summary disclosure",PACKAGE_01_FINAL_RECONCILIATION.md; chart coverage test; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-AUD-10,Package 1,Audit,"Evidence Library, governed downloads, source lineage, alternate-summary disclosure",PACKAGE_01_FINAL_RECONCILIATION.md; chart coverage test; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
