inventory_id,matrix_ids,page,source_file,source_line,component_type,component_name,source_anchor,data_source,grain,join_or_key,required_columns,fallback_or_empty_state,decision,decision_reason,target_package,evidence_state
P03-0001,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12;SVE-AUD-13;SVE-AUD-14;SVE-AUD-16,Executive Overview,app/Executive_Overview.py,475,PAGE_HEADER,Turn visitor intent into a measurable campaign decision.,"render_page_header(
    eyebrow=""E-Commerce Conversion Intelligence Platform"",
    title=""Turn visitor intent into a measurable campaign decision."",
    subtitle=(
        ""A single executive workspace for audience selection, campaign ""
        ""economics, model evidence, forecasts, anomaly exposure, and ""
        ""production readiness.""
    ),
    badges=[
        (f""Champion: {holdout['model_name']}"", ""positive""),
        (f""Threshold: {float(holdout['threshold']):.2f}"", ""info""),
        (f""Track: {champion_track}"", ""neutral""),
        (""Evidence: validated holdout"", ""positive""),
    ],
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0002,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,491,KPI_GRID,"[('Validated target quality', f'{precision:.1%}', 'Expected buyers among threshold-selected visitors'), ('Natural buyer rate', f'{natural_rate:.2%}', 'Observed buyer rate in the fi","render_kpi_grid(
    [
        (
            ""Validated target quality"",
            f""{precision:.1%}"",
            ""Expected buyers among threshold-selected visitors"",
        ),
        (
            ""Natural buyer rate"",
            f""{natural_rate:.2%}"",
            ""Observed buyer rate in the final holdout"",
        ),
        (
            ""Targeting lift"",
            f""{lift:.1f}×"",
            ""Selected-audience quality versus random targeting"",
        ),
        (
            ""Threshold-eligible audience"",
            f""{eligible_visitors:,}"",
            f""From {int(holdout['rows']):,} validated holdout visitors"",
        ),
    ]
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0003,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,516,SOURCE_NOTE,render_source_note,"render_source_note(
    source=(
        ""reports/tables/final_true_champion_holdout.csv; ""
        ""data/processed/final_champion_visitor_scores.csv; ""
        ""reports/metadata/ml_validation_manifest.json""
    ),
    evidence_type=""Validated holdout and generated ML evidence"",
    refreshed_at=evidence.source_timestamp,
    extra=(
        ""Holdout metrics measure validated model behaviour. Campaign value ""
        ""below is scenario-based because the source data has no reliable ""
        ""transaction revenue.""
    ),
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0004,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,531,SECTION_HEADER,Campaign scenario,"render_section_header(
    ""Campaign scenario"",
    ""Choose the audience and test the commercial assumptions"",
    (
        ""The model supplies target quality. Contact cost and buyer value are ""
        ""explicit assumptions that can be changed and exported.""
    ),
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0005,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,546,CONTROL,Campaign target size,"target_size = st.slider(
        ""Campaign target size"",
        min_value=1,
        max_value=maximum_target,
        value=default_target,
        help=""Cannot exceed the threshold-eligible holdout audience."",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0006,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,555,CONTROL,Contact cost per visitor,"contact_cost = st.number_input(
        ""Contact cost per visitor"",
        min_value=0.0,
        value=1.00,
        step=0.10,
        format=""%.2f"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0007,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,564,CONTROL,Assumed value per buyer,"buyer_value = st.number_input(
        ""Assumed value per buyer"",
        min_value=0.0,
        value=50.00,
        step=5.00,
        format=""%.2f"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0008,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,581,KPI_GRID,"[('Expected buyers', f""{scenario['expected_buyers']:.1f}"", f'Model precision applied to {target_size:,} selected visitors'), ('Campaign cost', f""{scenario['campaign_cost']:,.2f}"", ","render_kpi_grid(
    [
        (
            ""Expected buyers"",
            f""{scenario['expected_buyers']:.1f}"",
            f""Model precision applied to {target_size:,} selected visitors"",
        ),
        (
            ""Campaign cost"",
            f""{scenario['campaign_cost']:,.2f}"",
            ""Target size × contact cost"",
        ),
        (
            ""Net expected value"",
            f""{scenario['net_value']:,.2f}"",
            ""Expected buyer value minus campaign cost"",
        ),
        (
            ""Scenario ROI"",
            f""{scenario['roi']:.1%}"",
            ""Assumption-based return before operational overhead"",
        ),
    ]
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0009,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,614,SECTION_HEADER,Audience decision,"render_section_header(
    ""Audience decision"",
    ""From broad traffic to a measurable buyer opportunity"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0010,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,619,CHART,build_funnel_figure(funnel),"st.plotly_chart(
    build_funnel_figure(funnel),
    use_container_width=True,
    key=""exec_targeting_funnel"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
