ID,Page_or_Component,Package_03_State,Source_Evidence,Decision_Evidence,Quarantine_Evidence,Remaining_Gate
SVE-AUD-01,Executive Overview,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-02,Visitor Intent Predictor,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-03,Batch Scoring,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-04,Model Benchmark Selection,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-05,Business KPI Forecasting,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-06,Anomaly and Outlier,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-07,"Monitoring, Drift and Health",VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-08,MLOps Architecture,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-11,Threshold trade-off,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
SVE-AUD-12,Campaign trade-off,VERIFIED,docs/streamlit/PACKAGE_03_CURRENT_VISUAL_INVENTORY.csv,Source-derived component inventory and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision verified; browser screenshot gate closed under the documented local-environment QA exception.,docs/streamlit/PACKAGE_03_QUARANTINE_DECISION_REGISTER.csv,Complete — screenshot gate waived in docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md
