ID,Area,Page_or_Component,Requirement,Baseline_or_Enhancement_Rule,Acceptance_Evidence,Priority,Data_Dependency,Status
SVE-GOV-01,GOV,Activation gate,"Do not begin implementation until remediation, final QA, approval, and merge are complete.",Matrix may exist now for continuity; implementation remains deferred.,"Remediation merge is present in Git history; dedicated enhancement work began only afterward. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-02,GOV,Dedicated branch,Create a separate Streamlit enhancement branch after remediation merge.,Recommended branch: feat/streamlit-visual-intelligence-enhancement.,"Branch feat/streamlit-visual-intelligence-enhancement and remote tracking verified at baseline commit 82c3f66. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-03,GOV,Controlling checklist,Use this matrix as the authoritative scope for the enhancement phase.,No chart or feature is considered complete outside this matrix.,"Every row ends VERIFIED, CONDITIONAL, BLOCKED, or EXCLUDED with reason. Current evidence: Package 1 and Package 2 are reconciled; the remaining matrix rows still require package-by-package closure. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-04,GOV,Current theme protection,"Preserve the current app theme, typography, navigation, and overall visual identity.",Enhance rather than redesign the app.,"Before/after screenshots confirm no regression in the approved theme. Current evidence: Theme protection passed for Package 1 and Package 2; remaining pages are not yet reviewed. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-05,GOV,Existing chart protection,"Audit every current chart before replacing, removing, or duplicating it.","Classify each as KEEP, ENHANCE, REPLACE, MOVE, or RETIRE.","Baseline inventory records decision and reason for every current chart. Current evidence: Existing-chart decisions are complete for Package 1 and Package 2 only; the remaining pages still require inventory. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-06,GOV,Evidence rule,Use real project data and verified artifacts only.,"No invented metrics, demo values, or unsupported production claims.","Source path and calculation recorded for every visual. Current evidence: Real-evidence rules are verified for Package 1 and Package 2; phase-wide review remains open. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-07,GOV,Production truthfulness,Do not show offline validation as live production performance.,Matured-cohort performance remains conditional until real labels exist.,"Monitoring page exposes label availability and evidence status. Current evidence: Offline and scenario evidence are labelled truthfully in Package 1 and Package 2; monitoring-page maturation remains open. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-08,GOV,No duplicate storytelling,Avoid multiple charts that communicate the same business message.,Each chart must answer a distinct decision question.,"Page-level chart-purpose review completed. Current evidence: Completed packages were reviewed for distinct decision purpose; remaining pages are pending. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-09,GOV,Package-based changes,"Prepare complete, reviewable packages for substantive updates.",Do not ask the user to manually edit many project files.,"Package 1 and Package 2 used complete guarded installers with manifests, backups, tests, and no automatic Git writes. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-10,GOV,New-chat continuity,Keep this matrix and the handoff file physically in the repository.,A new chat must read both files before coding.,"Matrix, manifest, and handoff are repository files and were captured by the read-only closure audit. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
